No;Category;SKU;Name;Description;Favorite;Recommended;Halal;Is package;Cost;Price;Status;Category Sub
1;;;;;0;0;0;0;0;0;INACTIVE;
2;Recommended;Aa100;ToroMekajiki Sashimi 5pc;;0;0;0;0;0;255000;ACTIVE;
3;Recommended;Rc001;Mix Sashimi 3item @3pc;;0;0;0;0;0;300000;ACTIVE;
4;Recommended;RECO01;Otoro/Toro Sashimi 3pc;Bluefin Tuna Belly;0;0;0;0;0;220000;ACTIVE;
5;Recommended;RECO02;Tsujihan Bowl;Toro ( tuna Belly) chop, negi,takuan,ikura, uni,  fish brooth;0;0;0;0;0;250000;ACTIVE;
6;Recommended;RECO03;Salmon Sashimi (5 Pcs);;0;0;0;0;0;90000;ACTIVE;
7;Recommended;RECO05;Takoyaki 8pc;Isian tako/gurita, katsuobushi, sauce takoyaki, berikan note mau Mayo / Original / Mayo Cheese / Mentai Mayo;0;0;0;0;0;40000;ACTIVE;
8;Recommended;RECO06;Aiko Paket;2 pcs Salmon Mentai Sushi, 3 pcs Takoyaki;0;0;0;0;0;60000;ACTIVE;
9;Recommended;RECO07;Sakago Sushi (6 Pcs);Crabstick, tamago, salmon, topping (Mentai / Cheese Sauce);0;0;0;0;0;85000;ACTIVE;
10;Recommended;RECO08;Sakura Nigiri Platter (12 Pcs);Salmon, tuna, unagi, mekajiki;0;0;0;0;0;325000;ACTIVE;
11;Recommended;RECO09;Otoro Carpasio;;0;0;0;0;0;315000;ACTIVE;
12;Recommended;RECO10;Chirasi Bowl;Salmon, tuna, mekajiki, tamago, ikura, tobiko orange, chuka wakame;0;0;0;0;0;250000;ACTIVE;
13;Recommended;RECO11;Toromekajiki Sashimi (3 Pcs);Swordfish;0;0;0;0;0;165000;ACTIVE;
14;Recommended;RECO12;Tuna Moriawase;Otoro Sashimi 3 pcs, maguro sashimi 5 pcs, maguro sushi 4 pcs, tuna maki 6 pcs , otoro sushi 1 pcs , ikura;0;0;0;0;0;375000;ACTIVE;
15;Recommended;RECO13;Mix Salad;Jellyfish, seaweed, baby octopus, crabstick;0;0;0;0;0;75000;ACTIVE;
16;Recommended;RECO14;Kyoto Nigiri (5 Pcs Nigiri);Otoro (tuna belly), maguro, salmon, unagi, swordfish;0;0;0;0;0;190000;ACTIVE;
17;Recommended;RECO15;Daidokoro Roll;Ebi tempura, crabstick, kyuri, aburi salmon, mayo, tare, fishfloss, ebiko;0;0;0;0;0;80000;ACTIVE;
18;Recommended;RECO16;Crunchy Mentai Roll;Tanuki, kyuri, nori, aburi mentai mayo on top, aonori;0;0;0;0;0;37000;ACTIVE;
19;Recommended;RECO17;Moza Creamy Cheese;Tuna salad, kyuri, cream cheese, top mozzarella slice, cheese mayo, cheese cheddar, tare sauce;0;0;0;0;0;50000;ACTIVE;
20;Recommended;RECO18;Rainbow Roll;kanimayo, tuna, salmon slice, tuna slice, mekajiki slice, mayo , ikura;0;0;0;0;0;120000;ACTIVE;
